brand,sale_month,model_name,fuel_name,sale_count
현대,01,디 올 뉴 그랜저,가솔린,"4,492"
현대,01,디 올 뉴 그랜저,LPG,915
현대,01,디 올 뉴 그랜저,하이브리드,"3,711"
현대,01,포터2,디젤,"6,578"
현대,01,아반떼,가솔린,"4,999"
현대,01,아반떼,LPG,242
현대,01,아반떼,하이브리드,777
현대,01,팰리세이드,가솔린,"2,571"
현대,01,팰리세이드,디젤,"1,351"
현대,01,투싼,가솔린,"1,673"
현대,01,투싼,디젤,371
현대,01,투싼,하이브리드,"1,592"
현대,01,캐스퍼,가솔린,"3,070"
현대,01,스타리아,디젤,"2,277"
현대,01,스타리아,LPG,674
현대,01,싼타페,가솔린,731
현대,01,싼타페,디젤,332
현대,01,싼타페,하이브리드,"1,061"
현대,01,쏘나타,가솔린,852
현대,01,쏘나타,LPG,337
현대,01,쏘나타,하이브리드,354
현대,01,버스/트럭 (현대),,
현대,01,쏘나타 뉴 라이즈,LPG,996
현대,01,베뉴,가솔린,646
현대,01,디 올 뉴 코나,가솔린,620
현대,01,넥쏘,,
현대,01,마이티,,
현대,01,코나,가솔린,47
현대,01,코나,하이브리드,186
현대,01,카운티,디젤,90
현대,01,아반떼 N,가솔린,82
현대,01,아이오닉 5,전기,76
현대,01,쏠라티,디젤,68
현대,01,아이오닉 6,전기,23
현대,01,포터2 일렉트릭,전기,13
현대,01,그랜저,가솔린,2
현대,01,그랜저,LPG,9
현대,01,그랜저,하이브리드,2
현대,01,카운티 일렉트릭,전기,8
현대,01,코나 N,가솔린,1
현대,02,디 올 뉴 그랜저,가솔린,"4,185"
현대,02,디 올 뉴 그랜저,LPG,"1,234"
현대,02,디 올 뉴 그랜저,하이브리드,"4,396"
현대,02,아반떼,가솔린,"5,257"
현대,02,아반떼,LPG,173
현대,02,아반떼,하이브리드,827
현대,02,포터2,디젤,"6,227"
현대,02,포터2 일렉트릭,전기,"4,872"
현대,02,투싼,가솔린,"1,844"
현대,02,투싼,디젤,111
현대,02,투싼,하이브리드,"1,606"
현대,02,팰리세이드,가솔린,"2,066"
현대,02,팰리세이드,디젤,"1,473"
현대,02,스타리아,디젤,"2,668"
현대,02,스타리아,LPG,748
현대,02,캐스퍼,가솔린,"3,164"
현대,02,디 올 뉴 코나,가솔린,"3,127"
현대,02,싼타페,가솔린,734
현대,02,싼타페,디젤,506
현대,02,싼타페,하이브리드,"1,536"
현대,02,아이오닉 5,전기,"1,911"
현대,02,아이오닉 6,전기,"1,632"
현대,02,쏘나타,가솔린,615
현대,02,쏘나타,LPG,227
현대,02,쏘나타,하이브리드,386
현대,02,쏘나타 뉴 라이즈,LPG,"1,012"
현대,02,넥쏘,전기,884
현대,02,버스/트럭 (현대),,
현대,02,베뉴,가솔린,492
현대,02,마이티,,
현대,02,카운티,디젤,174
현대,02,쏠라티,디젤,124
현대,02,코나,가솔린,3
현대,02,코나,하이브리드,95
현대,02,아반떼 N,가솔린,79
현대,02,카운티 일렉트릭,전기,3
현대,02,그랜저,가솔린,1
현대,02,그랜저,LPG,1
현대,03,디 올 뉴 그랜저,가솔린,"4,511"
현대,03,디 올 뉴 그랜저,LPG,"1,050"
현대,03,디 올 뉴 그랜저,하이브리드,"5,355"
현대,03,포터2,디젤,"7,422"
현대,03,더 뉴 아반떼,가솔린,"5,361"
현대,03,더 뉴 아반떼,LPG,105
현대,03,더 뉴 아반떼,하이브리드,"1,070"
